Nick,Data,champion,championenemy,kills,deaths,assists,win,position,tempo_total,cs,cspm,killParticipation,soloKills,teamDamagePercentage,visionScoreAdvantageLaneOpponent,visionScorePerMinute,detectorWardsPlaced,wardTakedownsBefore20M,wardTakedowns,firstBloodKill,firstBloodAssist,kda,turretPlatesTaken,dragonKills,wardsKilled,wardsPlaced,maxCsAdvantageOnLaneOpponent,laningPhaseGoldExpAdvantage,cs@5,csdiff@5,jgdiff@5,golddiff@5,xpdiff@5,danodiff@5,csdiff@15,jgdiff@15,golddiff@15,xpdiff@15,danodiff@15,danodiff@3,Dpm,gameId,gold15rend,goldpm,danoporgold,cspmjg
yozan,2023-10-05,Fiora,Gwen,2.0,4.0,1.0,0.0,TOP,22:52,145.0,6.59,0.2,0.0,0.2031864035615397,0.7901349067687988,0.9547990401418992,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,8.0,26.0,0.0,35.0,15.0,0.0,-13.0,374.0,-376.0,8.0,0.0,-1581.0,-553.0,-783.0,67.0,496.27272727272725,2814594727.0,0.6941766293868107,316.1818181818182,0.6371130243634365,0.0
yozan,2023-10-04,Renekton,Gwen,3.0,10.0,6.0,0.0,TOP,23:39,115.0,5.0,0.3333333333333333,1.0,0.18031862028695678,-0.3373839259147644,0.41082519657528677,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.0,1.0,0.0,26.0,-2.0,0.0,376.0,-105.0,-996.0,-43.0,0.0,-1553.0,-2312.0,-5822.0,-803.0,661.1304347826087,2813986599.0,0.895771878072763,316.30434782608694,0.4784295672760752,0.0
yozan,2023-10-04,Gwen,Ornn,4.0,7.0,3.0,0.0,TOP,25:54,156.0,6.24,0.4117647058823529,1.0,0.3621816722020925,-0.033192455768585205,0.5612633792884363,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,38.0,0.0,35.0,10.0,0.0,263.0,92.0,-71.0,19.0,0.0,8.0,-1164.0,646.0,115.0,934.52,2814023292.0,0.7493993716503419,388.6,0.41582844668920943,0.0
yozan,2023-10-05,Fiora,Kennen,7.0,4.0,9.0,1.0,TOP,29:11,164.0,5.66,0.35555555555555557,2.0,0.2151736877028027,-0.22140294313430786,0.4648328622285324,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,11.0,0.0,34.0,6.0,0.0,121.0,98.0,-1195.0,-26.0,-2.0,-1194.0,-1635.0,-2234.0,-446.0,901.4827586206897,2814560948.0,0.8280069726902963,397.3103448275862,0.44072983207742034,0.0
yozan,2023-10-04,Gwen,Poppy,2.0,7.0,3.0,0.0,TOP,33:47,234.0,7.09,0.23809523809523808,0.0,0.18811341884028335,-0.2139309048652649,0.4362932461922018,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,9.0,26.0,0.0,24.0,5.0,0.0,-209.0,-110.0,-649.0,19.0,0.0,220.0,-433.0,-956.0,-483.0,481.93939393939394,2813942886.0,0.9929664873810509,367.3333333333333,0.7621981891348089,0.0
merkatos,2023-10-05,Jax,Gnar,8.0,7.0,3.0,0.0,TOP,30:22,185.0,6.17,0.5238095238095238,3.0,0.27619983016994837,0.007515430450439453,0.6521431718007271,1.0,1.0,3.0,1.0,0.0,1.5714285714285714,2.0,0.0,2.0,10.0,37.0,0.0,22.0,6.0,0.0,650.0,422.0,533.0,22.0,0.0,1892.0,1130.0,5098.0,235.0,740.1,2814286189.0,0.7081264698197021,384.6,0.5196595054722335,0.0
ryota winter,2023-10-05,LeeSin,RekSai,7.0,5.0,17.0,1.0,JUNGLE,26:40,23.0,0.88,0.5,0.0,0.1267712862091199,0.47918498516082764,1.1148026153840718,7.0,2.0,2.0,0.0,0.0,4.8,3.0,2.0,2.0,13.0,42.99999997019768,0.0,2.0,1.0,0.0,740.0,339.0,-379.0,-4.0,16.0,-582.0,570.0,-2863.0,10.0,541.2692307692307,2814239638.0,0.8104289750834832,485.46153846153845,0.8968947630213885,4.42
ryota winter,2023-10-05,LeeSin,Warwick,5.0,7.0,12.0,0.0,JUNGLE,38:8,100.0,2.63,0.5151515151515151,2.0,0.14297506426331227,0.08742380142211914,0.8422705382084437,5.0,2.0,2.0,0.0,0.0,2.4285714285714284,0.0,1.0,2.0,15.0,36.000000059604645,0.0,1.0,1.0,0.0,368.0,257.0,417.0,-2.0,24.0,733.0,854.0,1554.0,0.0,439.89473684210526,2814344872.0,0.6667622598221967,414.0263157894737,0.9411940655659249,4.39
ryota winter,2023-10-05,Taliyah,Viego,7.0,2.0,16.0,1.0,JUNGLE,28:50,33.0,1.18,0.6216216216216216,1.0,0.2508101299098156,1.2387168407440186,0.889368977051575,4.0,1.0,3.0,0.0,1.0,11.5,0.0,4.0,3.0,7.0,79.85000011324883,1.0,1.0,1.0,-5.0,126.0,-103.0,-206.0,6.0,16.0,987.0,1199.0,548.0,288.0,881.6071428571429,2814312951.0,0.5985370656913771,542.9642857142857,0.6158800891229491,6.32
fa letter,2023-10-06,JarvanIV,Taliyah,6.0,0.0,10.0,1.0,JUNGLE,20:0,27.0,1.35,0.64,2.0,0.177428347925524,1.2154412269592285,1.3626363057081234,3.0,5.0,5.0,1.0,0.0,16.0,3.0,2.0,5.0,4.0,25.700000017881393,0.0,7.0,4.0,-8.0,408.0,-328.0,-49.0,10.0,1.0,-37.0,88.0,-3151.0,193.0,459.05,2814701427.0,0.9820585457979226,492.05,1.071887593944015,5.15
