,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,summoner_name,tier,rank,wins,losses,leaguePoints,queueType
0,0.0,0.0,0.0,xoska,CHALLENGER,I,380,330,1181,RANKED_SOLO_5x5
1,2.0,2.0,2.0,qats,CHALLENGER,I,272,233,1135,RANKED_SOLO_5x5
2,3.0,3.0,3.0,lolo,CHALLENGER,I,468,407,1249,RANKED_SOLO_5x5
3,4.0,4.0,4.0,aithusa,CHALLENGER,I,627,561,1371,RANKED_SOLO_5x5
4,5.0,5.0,5.0,zayco,GRANDMASTER,I,234,200,976,RANKED_SOLO_5x5
5,6.0,6.0,,krastyel1,GRANDMASTER,I,63,36,709,RANKED_SOLO_5x5
6,7.0,7.0,,zayco,GRANDMASTER,I,234,200,976,RANKED_SOLO_5x5
7,8.0,,,namiru,GRANDMASTER,I,312,279,802,RANKED_SOLO_5x5
8,9.0,,,maxmüs,CHALLENGER,I,186,142,974,RANKED_SOLO_5x5
9,,,,titeito,CHALLENGER,I,167,127,1095,RANKED_SOLO_5x5
